reviewID,neg,neu,pos,compound
0,0.113,0.8,0.087,-0.8177
1,0.089,0.806,0.105,0.9169
2,0.071,0.705,0.223,0.9991
3,0.104,0.812,0.084,-0.6378
4,0.059,0.658,0.283,0.9608
5,0.155,0.417,0.429,0.5574
6,0.133,0.804,0.063,-0.4215
7,0.091,0.758,0.151,0.9506
8,0.232,0.643,0.125,-0.5432
9,0.155,0.761,0.084,-0.9872
10,0.14,0.754,0.105,-0.9841
11,0.074,0.799,0.128,0.7275
12,0.101,0.389,0.51,0.8588
13,0.139,0.745,0.116,-0.12
14,0.119,0.733,0.148,0.9647
15,0.232,0.643,0.125,-0.5432
16,0.028,0.841,0.13,0.9966
17,0.0,0.528,0.472,0.6557
18,0.027,0.731,0.242,0.9989
19,0.0,0.68,0.32,0.5719
20,0.029,0.662,0.309,0.9686
21,0.0,1.0,0.0,0.0
22,0.211,0.671,0.117,-0.1027
23,0.074,0.675,0.252,0.5994
24,0.141,0.68,0.18,0.9644
25,0.134,0.761,0.105,-0.3182
26,0.0,0.312,0.688,0.296
27,0.195,0.805,0.0,-0.8268
28,0.117,0.75,0.133,0.6643
29,0.071,0.788,0.14,0.9967
30,0.0,0.516,0.484,0.9504
31,0.121,0.57,0.309,0.8376
32,0.492,0.508,0.0,-0.8271
33,0.15,0.664,0.186,0.4523
34,0.0,0.879,0.121,0.296
35,0.088,0.488,0.424,0.9473
36,0.0,1.0,0.0,0.0
37,0.0,1.0,0.0,0.0
38,0.011,0.814,0.175,0.9863
39,0.159,0.673,0.168,0.0772
40,0.146,0.756,0.098,-0.4767
41,0.0,1.0,0.0,0.0
42,0.191,0.602,0.207,-0.128
43,0.0,1.0,0.0,0.0
44,0.191,0.809,0.0,-0.8555
45,0.189,0.811,0.0,-0.5423
46,0.0,1.0,0.0,0.0
47,0.168,0.638,0.194,0.7631
48,0.068,0.881,0.051,-0.2023
49,0.086,0.68,0.234,0.6574
50,0.114,0.779,0.107,-0.8374
51,0.0,1.0,0.0,0.0
52,0.161,0.729,0.109,0.0021
53,0.206,0.794,0.0,-0.3818
54,0.02,0.804,0.176,0.9974
55,0.237,0.763,0.0,-0.4215
56,0.0,0.86,0.14,0.0772
57,0.104,0.763,0.133,0.4593
58,0.241,0.556,0.204,-0.1531
59,0.106,0.655,0.239,0.7558
